id,Gender,Age,HasDrivingLicense,RegionID,Switch,VehicleAge,PastAccident,AnnualPremium,SalesChannelID,DaysSinceCreated,Result
85199,Male,54.0,1.0,33.0,,1-2 Year,,"£1,452.65 ",124,148,0
331106,Female,43.0,1.0,28.0,,1-2 Year,,"£1,494.60 ",124,149,1
89076,Female,32.0,1.0,8.0,0.0,1-2 Year,,"£1,631.90 ",26,30,0
191163,Female,,1.0,29.0,0.0,< 1 Year,Yes,"£2,000.45 ",152,95,0
27120,Male,27.0,1.0,3.0,1.0,< 1 Year,No,£131.50 ,160,58,0
290620,,24.0,,28.0,,< 1 Year,No,"£3,042.95 ",152,184,0
190758,Male,42.0,1.0,28.0,,1-2 Year,No,£131.50 ,124,231,0
303938,Female,24.0,1.0,31.0,0.0,< 1 Year,Yes,£131.50 ,152,177,0
114575,Female,43.0,1.0,28.0,,1-2 Year,,"£1,673.45 ",26,258,0
157638,Male,26.0,1.0,50.0,0.0,< 1 Year,Yes,"£2,629.85 ",124,70,0
140683,Male,30.0,1.0,,1.0,< 1 Year,,£131.50 ,152,210,0
129295,Female,24.0,1.0,37.0,0.0,,,"£1,176.75 ",151,256,0
127486,Female,44.0,1.0,35.0,0.0,1-2 Year,Yes,"£1,923.85 ",124,159,0
122524,Male,56.0,1.0,46.0,0.0,1-2 Year,,"£1,750.50 ",122,168,0
12666,Male,47.0,1.0,,,1-2 Year,Yes,£131.50 ,26,79,0
17957,Female,25.0,1.0,28.0,1.0,,No,"£1,681.35 ",152,101,0
327894,Female,23.0,1.0,,,< 1 Year,No,"£1,370.80 ",152,92,0
79215,Female,25.0,,25.0,,< 1 Year,,"£1,208.00 ",152,162,0
268942,Male,58.0,1.0,48.0,0.0,1-2 Year,No,£131.50 ,124,272,0
229230,Male,32.0,1.0,,,,Yes,£131.50 ,124,274,0
252282,Male,41.0,1.0,28.0,,,,"£2,758.70 ",125,39,0
63079,Female,25.0,1.0,41.0,,< 1 Year,,£131.50 ,152,210,0
160605,Male,24.0,1.0,36.0,0.0,< 1 Year,,"£1,947.45 ",152,263,0
247488,Male,,1.0,8.0,,< 1 Year,Yes,"£2,199.00 ",152,25,0
275113,Female,45.0,1.0,28.0,0.0,> 2 Years,Yes,"£3,465.75 ",26,279,1
284775,Male,54.0,1.0,7.0,,1-2 Year,,£131.50 ,26,49,0
294067,Male,44.0,1.0,40.0,0.0,1-2 Year,Yes,"£2,273.40 ",26,267,0
186084,Male,24.0,,8.0,0.0,< 1 Year,Yes,"£2,062.00 ",152,190,0
354733,Male,22.0,1.0,41.0,1.0,< 1 Year,No,"£1,767.90 ",152,296,0
225899,Male,58.0,1.0,28.0,,1-2 Year,,"£1,742.20 ",124,168,0
87898,Male,26.0,1.0,47.0,,< 1 Year,Yes,"£1,268.90 ",152,243,0
108337,,23.0,1.0,41.0,1.0,< 1 Year,No,"£1,400.70 ",152,109,0
186213,Male,37.0,1.0,29.0,0.0,,,£131.50 ,163,69,0
167669,Male,,1.0,28.0,,,No,£982.55 ,152,295,0
179301,Female,20.0,1.0,17.0,,< 1 Year,No,£131.50 ,160,97,0
228504,,27.0,1.0,28.0,,< 1 Year,,"£1,710.30 ",152,136,0
261877,Female,45.0,1.0,28.0,0.0,1-2 Year,No,"£2,471.55 ",124,25,0
345107,Female,61.0,,28.0,,> 2 Years,,£131.50 ,124,37,0
349396,Male,38.0,1.0,29.0,,,No,"£1,263.85 ",163,239,1
92032,Male,40.0,1.0,37.0,,1-2 Year,No,"£1,597.15 ",124,279,0
279392,Female,40.0,1.0,11.0,1.0,,No,"£2,226.70 ",124,33,0
302002,Male,71.0,1.0,50.0,1.0,1-2 Year,No,"£1,895.60 ",26,141,0
247209,Female,21.0,1.0,28.0,,1-2 Year,Yes,"£3,039.80 ",122,232,0
62665,Female,32.0,1.0,28.0,,1-2 Year,,£131.50 ,158,288,0
139214,Female,23.0,1.0,8.0,1.0,< 1 Year,No,"£1,875.10 ",152,229,0
181210,Male,41.0,1.0,,0.0,1-2 Year,,"£2,240.35 ",124,267,0
113328,Female,40.0,1.0,11.0,0.0,1-2 Year,Yes,£131.50 ,26,189,0
252506,Male,,,50.0,1.0,< 1 Year,No,"£1,221.15 ",152,77,0
42479,,22.0,1.0,29.0,1.0,< 1 Year,,"£1,847.85 ",152,66,0
66651,Male,49.0,1.0,4.0,,1-2 Year,Yes,"£1,636.55 ",26,42,0
238333,Female,41.0,1.0,48.0,1.0,,No,£131.50 ,124,66,0
206745,Female,23.0,1.0,41.0,,1-2 Year,,"£2,304.10 ",124,97,0
214585,Female,20.0,1.0,21.0,,< 1 Year,No,£131.50 ,160,258,0
11205,Male,46.0,1.0,20.0,0.0,1-2 Year,,£131.50 ,124,141,0
249564,Male,29.0,1.0,12.0,1.0,,No,£837.70 ,152,266,0
347939,Female,66.0,1.0,36.0,,1-2 Year,,"£1,850.50 ",157,202,0
167697,Female,43.0,1.0,17.0,,1-2 Year,,"£2,021.05 ",26,290,1
83156,Male,22.0,1.0,15.0,0.0,< 1 Year,,"£1,976.75 ",152,70,0
356356,Male,25.0,1.0,30.0,1.0,< 1 Year,No,"£1,600.45 ",152,222,0
124550,Male,56.0,1.0,28.0,,1-2 Year,Yes,"£1,963.15 ",124,216,1
34387,Female,21.0,1.0,8.0,1.0,< 1 Year,,"£2,758.20 ",160,56,0
224644,Male,24.0,1.0,29.0,,< 1 Year,No,"£1,453.10 ",152,54,0
271794,,45.0,1.0,28.0,,1-2 Year,Yes,"£1,728.80 ",124,228,0
79129,Female,51.0,1.0,50.0,1.0,1-2 Year,No,"£2,218.50 ",124,59,0
100425,Male,23.0,1.0,,,1-2 Year,Yes,"£1,238.45 ",26,193,1
46234,Female,28.0,,8.0,,< 1 Year,No,£131.50 ,152,199,0
33409,Female,,1.0,15.0,1.0,< 1 Year,,"£1,348.10 ",160,255,0
4112,Male,28.0,1.0,8.0,,< 1 Year,,"£1,537.65 ",160,241,0
127844,Female,26.0,1.0,14.0,,,,"£1,269.20 ",151,38,0
184762,Female,20.0,1.0,15.0,,< 1 Year,,"£1,869.50 ",160,183,0
105800,Female,,1.0,38.0,0.0,,,"£1,313.85 ",154,116,0
